clusters,silhouette_score,sse
2,0.008991481658552134,12857.98820935611
3,0.011302770689326178,12788.65165308581
4,0.012392148415860763,12708.652257492102
5,0.01416509438709467,12649.41038117425
6,0.01661556863527541,12579.66127788025
7,0.016693676174826356,12544.076890899018
8,0.01843291600950271,12484.09088249832
9,0.020118514919956972,12424.939901826949
10,0.021322955252054465,12381.322662417235
15,0.027242796733129838,12163.730571847647
20,0.0274711646657451,12066.289971098064
25,0.0326365999560259,11859.178658582081
30,0.03745260735196195,11719.35448430012
35,0.037181852073967396,11654.274478335648
40,0.04128713581318155,11534.357875374879
45,0.031646112255366655,11686.101743917412
50,0.04248146150868991,11382.728262267428
60,0.047318430206087364,11185.936243830798
70,0.05087331375566489,11007.673082502355
80,0.054126490370710864,10845.688804590089
90,0.0397269103674144,10945.44849086199
100,0.04258714638097825,10855.190386080496
150,0.05951871753675102,10260.603543685309
200,0.06266682370856219,9867.321089869365
250,0.0656287113828364,9507.263432923131
300,0.07052408653944374,9165.004359163304
350,0.0747694224091237,8915.031878436896
400,0.08079643688246155,8669.206669332654
450,0.08858392662962723,8400.76892949176
500,0.08636163391073778,8244.121976349435
600,0.08832878357699203,7909.747273645001
700,0.09251576123869927,7635.983477397386
800,0.09932029932002086,7361.45179497569
900,0.10768223069118531,7134.418864221078
1000,0.1103185700063784,6945.982561721313
1250,0.12145374060598035,6499.123095624194
1500,0.13295411552350275,6136.3569480626975
1750,0.14424698935306576,5816.276137377929
2000,0.15424505235363797,5525.312371773948
