clusters,silhouette_score,sse
2,0.039663187165203076,1738.5807785531524
3,-0.003935622287668444,1713.9772459126323
4,-0.002250954081405711,1694.09351578021
5,0.00123523886357727,1678.0414043648116
6,0.0032229778096967737,1664.6149341060686
7,0.0038022674476372803,1650.5920517821428
8,-0.009179920961126879,1639.360375037258
9,-0.003945454524917425,1629.2400533737043
10,0.0007885503443092437,1619.3429238279034
15,-0.01579030252481243,1579.816586468366
20,-0.013548960048093682,1554.353030121998
25,-0.011738464725890074,1537.770426969449
30,-0.01016007254626613,1519.316913734207
35,-0.008457799045483088,1505.2962623248982
40,-0.011944234763506218,1495.5619691092202
45,-0.014338423055615578,1485.4161636732224
50,-0.011489690382464404,1476.4385881765368
60,-0.008528625675577599,1458.1925269528697
70,-0.014953487309328313,1442.349370491218
80,-0.011083508199577638,1429.053055630398
90,-0.015905783400838567,1418.302466289106
100,-0.013108338911474685,1406.7207873631216
150,-0.01297992386623997,1364.618956482131
200,-0.007825919139377926,1333.3236677854172
250,-0.0040788735087328885,1306.1474340155567
300,0.00027770925571915257,1283.1502179840272
350,0.0019597159595160303,1261.6806005639396
400,0.008557750468185568,1246.3050268643447
450,0.0060360089189140645,1226.471494082865
500,0.010103771239397529,1212.1894576064192
600,0.013797819495476347,1181.5073094108668
700,0.018823272652419062,1154.1089649642504
800,0.026378673661031575,1132.2060748989452
900,0.02687617730957459,1108.9588461572794
1000,0.025383298216086123,1087.8898522490329
1250,0.03150119233234499,1037.3750843335336
1500,0.04137443697146357,988.1410868285914
1750,0.04470428224062925,944.6622759983613
2000,0.04992009100935815,902.2979430237373
