clusters,silhouette_score
2,0.038246900583531696
3,-0.014538619788783435
4,-0.013010726135348157
5,-0.008908890192498211
6,-0.006659035136058353
7,-0.005173445929502646
8,-0.032556246049217634
9,-0.040199265597583016
10,-0.04090538773398011
15,-0.026733162599942267
20,-0.027635459415522836
25,-0.02975097438101436
30,-0.031774227318179915
35,-0.033667889230600566
40,-0.02883703809241266
45,-0.03856803769867616
50,-0.03145587709573127
60,-0.030928482782428712
70,-0.027485753765545955
80,-0.024932157229921224
90,-0.025958078204638416
100,-0.025916640705712587
150,-0.021761862775625942
200,-0.01234354312676646
250,-0.01584840340892631
300,-0.011242529673167667
350,-0.009496436347656314
400,-0.007642925636890754
450,-0.002426457265561866
500,0.0031035095212706802
600,0.008791864601099065
700,0.01105841367168745
800,0.014905105995740757
900,0.020427309029163017
1000,0.023860577705984896
1250,0.03382989655392453
1500,0.035237146069876366
1750,0.04359746515026018
2000,0.04202619642630321
